alpha_d,alpha_g,batch_size,num_batches,id_acf_score,squared_acf_score,le_score,wass_avg,avg_divergence
0.5,0.5,1000,1000,0.4840103582378143,1.136223770506466,0.3941998585413778,0.0006559262252902,0.6848917260452256
0.5,1.0,1000,1000,0.5146580019943447,1.214487229384058,0.4942096334055846,0.0006534591905048,0.7031803261883969
0.5,3.0,1000,1000,0.5328615231327906,1.205092650374341,0.5330466478242921,0.0006853459573199,0.7581572152991356
0.5,5.0,1000,1000,0.489419903851539,1.2360894465179235,0.4594070967712079,0.0006555263820041,0.7282381336129262
0.5,10.0,1000,1000,0.5162106496048221,1.1990837058380106,0.4734507325384222,0.0006379628890033,0.7050782491624907
0.5,100.0,1000,1000,0.508664593473122,1.1413224668623998,0.4023356940300812,0.0006690109030656,0.7015430931637285
1.0,0.5,1000,1000,0.5211271012438694,1.1584750442600238,0.4602235348175808,0.000652453415897,0.6908772449899967
1.0,1.0,1000,1000,0.482775870956604,1.1867485580180084,0.4505618971567706,0.0006973469641198,0.595545860763564
1.0,3.0,1000,1000,0.5430915622846328,1.1737437669590167,0.4306602992992748,0.0006622366004215,0.6966147523189221
1.0,5.0,1000,1000,0.530995708068774,1.1529984702663432,0.4355384926840466,0.0005959320076806,0.6547286564944059
1.0,10.0,1000,1000,0.4823080473175051,0.9737836446597246,0.3668420553928262,0.0006670599458317,0.6034304815090894
1.0,100.0,1000,1000,0.4856635175766579,1.1997278476493785,0.4707695750051263,0.0005627164870391,0.6519912330173179
3.0,1.0,1000,1000,0.520149209704952,1.0401350042256212,0.4152605432882856,0.0006441770245263,0.6401131480731186
3.0,3.0,1000,1000,0.5052521270293007,1.142643773089567,0.4382978552799744,0.0006591264792484,0.6644262470404164
5.0,3.0,1000,1000,0.4973701679193892,1.169421375764122,0.4255345135725668,0.0006801001185629,0.7393152394383751
5.0,5.0,1000,1000,0.5617187576521818,1.2195511095073963,0.5045456633196336,0.0006968576810209,0.7432580349023405
10.0,5.0,1000,1000,0.4932884542829105,1.216286298714126,0.4895632922427809,0.0006090954338694,0.7343634735499354
10.0,10.0,1000,1000,0.5011619255604572,1.2373206685763032,0.443150630108357,0.000588538726992,0.696183173041742
100.0,100.0,1000,1000,0.5218094166053253,1.1534196562302392,0.4010901956696704,0.0005793856216029444,0.6782311521987601
