alpha_d,alpha_g,batch_size,num_batches,id_acf_score,squared_acf_score,le_score,wass_avg,avg_divergence
0.5,0.5,1000,1000,0.4805009751809773,0.8899792462582523,0.3424711881719125,0.0014550504650052,0.5341878440692563
0.5,1.0,1000,1000,0.5067420404902574,1.0174521998795585,0.3874642216066858,0.0008912274654253,0.6843154410157912
0.5,3.0,1000,1000,0.4949129987229848,0.9688535028533156,0.3754610492326608,0.0009064529324105,0.6160305783753396
0.5,5.0,1000,1000,0.513841139484758,0.9288619540260477,0.3814124461363631,0.0009207538433038,0.6539436172996734
0.5,10.0,1000,1000,0.5144739846845621,0.9564744914828948,0.378528967188028,0.0013212836218252,0.6713578249280043
0.5,100.0,1000,1000,0.4866784713777269,0.9378190088774514,0.3416099344269608,0.0008705516239428,0.5664713265263445
1.0,0.5,1000,1000,0.5039298336998232,0.8819431001279155,0.351738442092845,0.0015530989810737,0.5299883946539141
1.0,1.0,1000,1000,0.4976221664252093,1.0615558574075732,0.441467536947656,0.0008280223217387,0.7323873150758523
1.0,3.0,1000,1000,0.4724689759459581,0.955081273314283,0.3567643631929237,0.0017503401348542,0.5475040638932046
1.0,5.0,1000,1000,0.4854933406879159,0.936928976924474,0.3480013255225041,0.0008478561952692,0.5642313003571379
1.0,10.0,1000,1000,0.4836803618193657,0.9774570403884356,0.3765465067338482,0.0007050044190604,0.6162442413364714
1.0,100.0,1000,1000,0.4971054763063948,0.9619597893335374,0.3581777115758627,0.0012721490877493,0.5950441670258599
3.0,1.0,1000,1000,0.5161746295832319,1.0314615559120344,0.3951295090961617,0.0007034645217448,0.6101765748287049
5.0,3.0,1000,1000,0.5022138697374463,0.9730144443188378,0.3635690606204806,0.001726823947564,0.5699774180188628
5.0,5.0,1000,1000,0.5202061486554533,0.887529122030245,0.340190031814263,0.0015041418118288,0.5553843285647629
100.0,100.0,1000,1000,0.491635378324504,0.9441225404598118,0.34072821010056603,0.0016452847726924629,0.539533021386808
