alpha_d,alpha_g,batch_size,num_batches,id_acf_score,squared_acf_score,le_score,wass_avg,avg_divergence
0.5,0.5,1000,1000,0.4692927195406767,0.900702652290055,0.3384143360031422,0.0012543676891711,0.5278386116700461
0.5,1.0,1000,1000,0.4888222752829662,0.8338766629581212,0.3429034210230691,0.000657029515033,0.5833390087737694
0.5,3.0,1000,1000,0.4840205153514701,0.7518787812353114,0.3124405728312933,0.0009202320793118,0.5300747087700001
0.5,5.0,1000,1000,0.4538459249853533,0.8750433167755598,0.3774978909222028,0.0007685922111871,0.6167217318500545
0.5,10.0,1000,1000,0.4717016048061333,0.8637441052272142,0.33559062662825,0.0007908667354408,0.5564139159684331
0.5,100.0,1000,1000,0.5173450198989454,0.8063109330367578,0.6587075623175266,0.0017265492143414,0.7489361368383309
1.0,0.5,1000,1000,0.5118996143949958,1.0256139068947283,0.3798563713106948,0.0011533743793192,0.5903226007598865
1.0,1.0,1000,1000,0.5562253197968242,0.8788068581368267,0.3753005489167268,0.0013003143173022,0.6337119102403508
1.0,3.0,1000,1000,0.4959067933715008,1.0060286152385522,0.3899979485941692,0.001197369633213,0.6705519346836576
1.0,10.0,1000,1000,0.5056556093201918,0.995105569097023,0.3582346851301617,0.0007590790061366,0.5737416641111653
1.0,100.0,1000,1000,0.5133012076647105,0.9398878346555,0.3511869440112446,0.0009088248640591,0.5854056295481707
5.0,3.0,1000,1000,0.4859780972876977,0.9000099129710358,0.3438879186596474,0.0021535760150911,0.5788196040002108
10.0,5.0,1000,1000,0.49262839536938574,0.8763878777760332,0.3219234405673119,0.0011782274598046948,0.5272839419905592
